Estrategia Guiado Por Sentimiento del Mercado,Estrategia Comprar Bajo y Vender Alto,Estrategia Inversor,agente 0 generación 1,agente 0 generación 2,agente 0 generación 3
0.0,0.0,0.0,0.0,0.0,
0.0,-1.6442623779003043,2.125894976372365,6.283138053389848,397.58404031570535,
0.0,-32.224494417605456,-27.4958864293003,-240.38278902367165,1007.4467831516231,
0.0,0.9644406854931731,34.545837632991606,188.64459908432036,1316.9438969986804,
0.0,-59.89433381654089,53.566350313980365,-420.1882871945709,1406.9892967911,
0.0,63.114304762217216,179.02865870478854,-320.664797177742,1791.9013455672539,
0.0,-52.445275646066875,24.997905185606214,384.60217151655525,1944.8562038956297,
0.0,-60.715324702323414,146.86560102523072,1779.5573728548916,2834.9406154288154,
0.0,107.93099143881409,-3.817400507439743,1408.7994806054776,2909.5119368705346,
0.0,208.6214361769089,237.61813956621336,1657.858351248171,3635.5803838712745,
,314.31815027669654,692.288599298874,3294.498787343342,,
,744.6969661166368,712.4907988030318,4897.281009642102,,
,533.5115280243626,350.17045369860716,6114.92915660693,,
,728.0742045339575,860.414921137839,6748.481710058913,,
,25.385276337896357,171.93094094414846,6872.335177378394,,
,-438.9954671753512,233.41597346693743,7741.250516497239,,
,-151.1630934538407,1004.3919871670951,8647.771593174999,,
,1068.1525184008206,2488.6428975842573,10033.256115912445,,
,623.885430747905,2149.6330010427773,10173.865569456233,,
,930.5194657482061,2299.43662756322,11257.048567515492,,
,,3950.1927586340753,,,
,,5528.543137856905,,,
,,6726.790586741146,,,
,,7329.607529959278,,,
,,7392.089317133912,,,
,,8401.317857670569,,,
,,9244.512686819973,,,
,,10626.380435044703,,,
,,10779.533877642461,,,
,,11836.352809380682,,,
